
Continent,Country,Name,MIC,Last changed
Asia,Kazakhstan ,Astana International Financial Centre,AIXK,2018-11-18
South America,Argentina ,Bolsas y Mercados Argentinos,,2018-04-02
North America,United States of America ,Delaware Board of Trade,,2018-04-02
Australia & Oceania,Australia ,Chi-X Asia Pacific,,2018-04-02
Australia & Oceania,Australia ,Chi-X Australia,CHIA,2018-04-02
South America,Mexico,BIVA,BIVA,2018-01-06
Africa,South Africa,Equity Express Securities Exchange,,2017-12-11
Africa,South Africa,4AX,,2017-09-29
Africa,South Africa ,ZAR X,ZARX,2018-11-18
North America,Curacao,Dutch Caribbean Securities Exchange,DCSX,2017-09-12
North America,Canada ,NEO,NEOE,2017-09-06
North America,Canada ,Canadian Securities Exchange,CNSX?,2017-09-06
Western Europe,Germany ,XETRA,XETR,2017-08-21
Western Europe,France ,Euronext Paris,XPAR,2017-08-19
Western Europe,United Kingdom ,Euronext London,XLDN,2017-08-19
Eastern Europe,Albania ,Tirana Stock Exchange,XTIR,2017-08-16
Africa,Algeria,Bourse d'Alger,XALG,2017-08-16
Africa,Angola,BODIVA,XBDV,2017-08-16
South America,Argentina ,Buenos Aires Stock Exchange,XBUE,2017-08-16
South America,Argentina ,Mercado Abierto Electrónico,XMAB,2017-08-16
Eastern Europe,Armenia ,NASDAQ OMX Armenia,XARM,2017-08-16
Australia & Oceania,Australia ,Australian Securities Exchange,XASX,2017-08-16
Australia & Oceania,Australia ,Block Event,BLEV,2017-08-16
Australia & Oceania,Australia ,IR Plus Securities Exchange,SIMV,2017-08-16
Australia & Oceania,Australia ,National Stock Exchange of Australia,XNEC,2017-08-16
Australia & Oceania,Australia ,Sydney Stock Exchange,APXL,2017-08-16
Western Europe,Austria ,Wiener Börse,XWBO,2017-08-16
Asia,Azerbaijan ,Baku Stock Exchange,BSEX,2017-08-16
North America,Bahamas ,Bahamas International Securities Exchange,XBAA,2017-08-16
Middle East,Bahrain ,Bahrain Bourse,XBAH,2017-08-16
Asia,Bangladesh ,Chittagong Stock Exchange,XCHG,2017-08-16
Asia,Bangladesh ,Dhaka Stock Exchange,XDHA,2017-08-16
North America,Barbados ,Barbados Stock Exchange,XBAB,2017-08-16
Eastern Europe,Belarus,Belarusian Currency and Stock Exchange,BCSE,2017-08-16
Western Europe,Belgium ,Euronext Brussels,XBRU,2017-08-16
North America,Bermuda ,Bermuda Stock Exchange,XBDA,2017-08-16
Asia,Bhutan,Royal Securities Exchange of Bhutan,,2017-08-16
South America,Bolivia ,Bolsa de Valores de Bolivia,XBOL,2017-08-16
Eastern Europe,Bosnia and Herzegovina ,Banja Luka Stock Exchange,XBLB,2017-08-16
Eastern Europe,Bosnia and Herzegovina ,Sarajevo Stock Exchange,XSSE,2017-08-16
Africa,Botswana ,Botswana Stock Exchange,XBOT,2017-08-16
South America,Brazil ,B3 - Brasil Bolsa Balcão,BVMF,2017-08-16
South America,Brazil ,Bolsa de Valores Minab - Espírito Santo,BOVM,2017-08-16
Eastern Europe,Bulgaria ,Bulgarian Stock Exchange,XBUL,2017-08-16
Asia,Cambodia,Cambodia Securities Exchange,XCSX,2017-08-16
Africa,Cameroon ,Douala Stock Exchange,XDSX,2017-08-16
North America,Canada ,Montreal Exchange,XMOD,2017-08-16
North America,Canada ,Nasdaq Canada,XCSD,2017-08-16
North America,Canada ,TMX,TMXS,2017-08-16
North America,Canada ,Toronto Stock Exchange,XTSE,2017-08-16
Africa,Cape Verde ,Bolsa de Valores de Cabo Verde,XBVC,2017-08-16
North America,Cayman Islands ,Cayman Islands Stock Exchange,XCAY,2017-08-16
Western Europe,Channel Islands ,Channel Islands Stock Exchange,,2017-08-16
South America,Chile ,Santiago Electronic Stock Exchange,XBCL,2017-08-16
South America,Chile ,Santiago Stock Exchange,XSGO,2017-08-16
South America,Chile ,Valparaiso Stock Exchange,BOVA,2017-08-16
Asia,China ,Shanghai Stock Exchange,XSHG,2017-08-16
Asia,China ,Shenzhen Stock Exchange,XSHE,2017-08-16
South America,Colombia ,Bolsa de Valores de Colombia,XBOG,2017-08-16
North America,Costa Rica ,Bolsa Nacional de Valores de Costa Rica,XBNV,2017-08-16
Eastern Europe,Croatia ,Zagreb Stock Exchange,XZAG,2017-08-16
Eastern Europe,Cyprus ,Cyprus Stock Exchange,XCYS,2017-08-16
Eastern Europe,Czech Republic ,Prague Stock Exchange,XPRAG,2017-08-16
Eastern Europe,Czech Republic ,RM-System Czech Stock Exchange,XRMZ,2017-08-16
Western Europe,Denmark ,Nasdaq Copenhagen,XCSE,2017-08-16
North America,Dominican Republic ,Bolsa de Valores de la República Dominicana,XBVR,2017-08-16
South America,Ecuador ,Bolsa de Valores de Guayaquil,XGUA,2017-08-16
South America,Ecuador ,Bolsa de Valores de Quito,XQUI,2017-08-16
Africa,Egypt ,Egyptian Exchange,XCAI,2017-08-16
Africa,Egypt ,Nilex,NILX,2017-08-16
North America,El Salvador ,Bolsa de Valores de El Salvador,XSVA,2017-08-16
Eastern Europe,Estonia ,Tallinn Stock Exchange,XTAL,2017-08-16
Australia & Oceania,Fiji ,South Pacific Stock Exchange,XSPS,2017-08-16
Western Europe,Finland ,Nasdaq Helsinki,XHEL,2017-08-16
Africa,Gabon,Bourse Régionale des Valeurs Mobilières d'Afrique Centrale,,2017-08-16
Asia,Georgia ,Georgian Stock Exchange,XGSE,2017-08-16
Western Europe,Germany ,Börse Berlin,XBER,2017-08-16
Western Europe,Germany ,Börse Düsseldorf,XDUS,2017-08-16
Western Europe,Germany ,Börse Hamburg & Hannover,HAMB,2017-08-16
Western Europe,Germany ,Börse München,XMUN,2017-08-16
Western Europe,Germany ,Börse Stuttgart,XSTU,2017-08-16
Western Europe,Germany ,Deutsche Börse Group,XFRA,2017-08-16
Western Europe,Germany ,Eurex,XEUR,2017-08-16
Western Europe,Germany ,Tradegate Exchange,TGAT,2017-08-16
Africa,Ghana ,Ghana Stock Exchange,XGHA,2017-08-16
Western Europe,Gibraltar,Gibraltar Stock Exchange,GSXL,2017-08-16
Western Europe,Greece ,Athens Stock Exchange,ASEX,2017-08-16
North America,Guatemala ,Bolsa Nacional de Valores,XGTG,2017-08-16
Western Europe,Guernsey,International Stock Exchange,XCIE,2017-08-16
South America,Guyana ,Guyana Stock Exchange,GSCI,2017-08-16
North America,Haiti ,Haitian Stock Exchange,,2017-08-16
North America,Honduras ,Bolsa Centroamericana de Valores,XBCV,2017-08-16
Asia,Hong Kong ,Hong Kong Growth Enterprise Market,XGEM,2017-08-16
Asia,Hong Kong ,Hong Kong Stock Exchange,XHKG,2017-08-16
Eastern Europe,Hungary ,Budapest Stock Exchange,XBUD,2017-08-16
Western Europe,Iceland ,Nasdaq Iceland,XICE,2017-08-16
Asia,India ,Ahmedabad Stock Exchange,,2017-08-16
Asia,India ,Bangalore Stock Exchange,XBAN,2017-08-16
Asia,India ,Bombay Stock Exchange,XBOM,2017-08-16
Asia,India ,BSE SME,BSME,2017-08-16
Asia,India ,Calcutta Stock Exchange,XCAL,2017-08-16
Asia,India ,Cochin Stock Exchange,,2017-08-16
Asia,India ,Coimbatore Stock Exchange,,2017-08-16
Asia,India ,Delhi Stock Exchange,XDES,2017-08-16
Asia,India ,Inter-Connected Stock Exchange of India,ISEX,2017-08-16
Asia,India ,Ludhiana Stock and Capital,,2017-08-16
Asia,India ,Metropolitan Stock Exchange,,2017-08-16
Asia,India ,National Stock Exchange of India,XNSE,2017-08-16
Asia,India ,OTC Exchange of India,OTCX,2017-08-16
Asia,India ,Pune Stock Exchange,,2017-08-16
Asia,India ,Saurashtra Kutch Stock Exchange,,2017-08-16
Asia,India ,United Stock Exchange of India,XUSE,2017-08-16
Asia,India ,Vadodara Stock Exchange,,2017-08-16
Asia,Indonesia ,Indonesia Stock Exchange,XIDX,2017-08-16
Asia,Iran ,Iran Fara Bourse,,2017-08-16
Middle East,Iran ,Tehran Stock Exchange,XTEH,2017-08-16
Middle East,Iraq ,Iraq Stock Exchange,XIQS,2017-08-16
Western Europe,Ireland ,Irish Stock Exchange,XDUB,2017-08-16
Middle East,Israel ,Tel Aviv Stock Exchange,XTAE,2017-08-16
Western Europe,Italy ,Borsa Italiana,XMIL,2017-08-16
Africa,Ivory Coast,Bourse Regionale des Valeurs Mobilieres,XBRV,2017-08-16
North America,Jamaica ,Jamaica Stock Exchange,XJAM,2017-08-16
